"Year","City","Number_of_Crashes","Region_in_Jamaica"
2007,"Kingston",4823,"South"
2007,"St. Andrew",1026,"South"
2007,"St. Catherine",3164,"South"
2007,"St. Thomas",348,"South"
2007,"Clarendon",747,"South"
2007,"Manchester",909,"South"
2007,"St. Elizabeth",303,"South"
2007,"Westmoreland",207,"North"
2007,"Hanover",194,"North"
2007,"St. James",799,"North"
2007,"Trelawny",270,"North"
2007,"St. Ann",1023,"North"
2007,"St. Mary",611,"North"
2007,"Portland",373,"North"
2007,"Not known",1868,"Unknown"
2007,"Overseas",79,"External"
2008,"Kingston",4595,"South"
2008,"St. Andrew",740,"South"
2008,"St. Catherine",2991,"South"
2008,"St. Thomas",392,"South"
2008,"Clarendon",560,"South"
2008,"Manchester",880,"South"
2008,"St. Elizabeth",235,"South"
2008,"Westmoreland",217,"North"
2008,"Hanover",185,"North"
2008,"St. James",675,"North"
2008,"Trelawny",242,"North"
2008,"St. Ann",964,"North"
2008,"St. Mary",494,"North"
2008,"Portland",324,"North"
2008,"Not known",3615,"Unknown"
2008,"Overseas",53,"External"
2009,"Kingston",3875,"South"
2009,"St. Andrew",519,"South"
2009,"St. Catherine",2915,"South"
2009,"St. Thomas",313,"South"
2009,"Clarendon",524,"South"
2009,"Manchester",836,"South"
2009,"St. Elizabeth",301,"South"
2009,"Westmoreland",373,"North"
2009,"Hanover",210,"North"
2009,"St. James",839,"North"
2009,"Trelawny",230,"North"
2009,"St. Ann",919,"North"
2009,"St. Mary",431,"North"
2009,"Portland",222,"North"
2009,"Not known",2695,"Unknown"
2009,"Overseas",58,"External"
2010,"Kingston",820,"South"
2010,"St. Andrew",193,"South"
2010,"St. Catherine",958,"South"
2010,"St. Thomas",107,"South"
2010,"Clarendon",282,"South"
2010,"Manchester",308,"South"
2010,"St. Elizabeth",182,"South"
2010,"Westmoreland",125,"North"
2010,"Hanover",53,"North"
2010,"St. James",302,"North"
2010,"Trelawny",123,"North"
2010,"St. Ann",549,"North"
2010,"St. Mary",215,"North"
2010,"Portland",136,"North"
2010,"Not known",1090,"Unknown"
2010,"Overseas",22,"External"
2011,"Kingston",1366,"South"
2011,"St. Andrew",491,"South"
2011,"St. Catherine",1586,"South"
2011,"St. Thomas",178,"South"
2011,"Clarendon",494,"South"
2011,"Manchester",375,"South"
2011,"St. Elizabeth",234,"South"
2011,"Westmoreland",254,"North"
2011,"Hanover",70,"North"
2011,"St. James",274,"North"
2011,"Trelawny",89,"North"
2011,"St. Ann",506,"North"
2011,"St. Mary",246,"North"
2011,"Portland",258,"North"
2011,"Not known",1249,"Unknown"
2011,"Overseas",54,"External"
2012,"Kingston",2567,"South"
2012,"St. Andrew",693,"South"
2012,"St. Catherine",2986,"South"
2012,"St. Thomas",261,"South"
2012,"Clarendon",612,"South"
2012,"Manchester",657,"South"
2012,"St. Elizabeth",329,"South"
2012,"Westmoreland",375,"North"
2012,"Hanover",143,"North"
2012,"St. James",549,"North"
2012,"Trelawny",203,"North"
2012,"St. Ann",956,"North"
2012,"St. Mary",346,"North"
2012,"Portland",258,"North"
2012,"Not known",2147,"Unknown"
2012,"Overseas",97,"External"
2013,"Kingston",2486,"South"
2013,"St. Andrew",1396,"South"
2013,"St. Catherine",2503,"South"
2013,"St. Thomas",325,"South"
2013,"Clarendon",623,"South"
2013,"Manchester",796,"South"
2013,"St. Elizabeth",348,"South"
2013,"Westmoreland",277,"North"
2013,"Hanover",115,"North"
2013,"St. James",521,"North"
2013,"Trelawny",165,"North"
2013,"St. Ann",1066,"North"
2013,"St. Mary",428,"North"
2013,"Portland",278,"North"
2013,"Not known",2379,"Unknown"
2013,"Overseas",101,"External"
2014,"Kingston",2416,"South"
2014,"St. Andrew",840,"South"
2014,"St. Catherine",2079,"South"
2014,"St. Thomas",255,"South"
2014,"Clarendon",590,"South"
2014,"Manchester",682,"South"
2014,"St. Elizabeth",401,"South"
2014,"Westmoreland",367,"North"
2014,"Hanover",172,"North"
2014,"St. James",538,"North"
2014,"Trelawny",109,"North"
2014,"St. Ann",881,"North"
2014,"St. Mary",366,"North"
2014,"Portland",252,"North"
2014,"Not known",2880,"Unknown"
2014,"Overseas",99,"External"
2015,"Kingston",1458,"South"
2015,"St. Andrew",586,"South"
2015,"St. Catherine",1215,"South"
2015,"St. Thomas",181,"South"
2015,"Clarendon",328,"South"
2015,"Manchester",438,"South"
2015,"St. Elizabeth",269,"South"
2015,"Westmoreland",262,"North"
2015,"Hanover",160,"North"
2015,"St. James",331,"North"
2015,"Trelawny",59,"North"
2015,"St. Ann",545,"North"
2015,"St. Mary",211,"North"
2015,"Portland",227,"North"
2015,"Not known",1126,"Unknown"
2015,"Overseas",86,"External"
